drug,conc,units,block,channel
ondansetron,300,nM,14.993,hERG
ondansetron,300,nM,28.95,hERG
ondansetron,300,nM,21.849,hERG
ondansetron,300,nM,22.429,hERG
ondansetron,300,nM,23.625,hERG
ondansetron,300,nM,13.834,hERG
ondansetron,300,nM,9.5204,hERG
ondansetron,1000,nM,53.717,hERG
ondansetron,1000,nM,62.244,hERG
ondansetron,1000,nM,58.292,hERG
ondansetron,1000,nM,56.95,hERG
ondansetron,1000,nM,41.729,hERG
ondansetron,1000,nM,36.371,hERG
ondansetron,1000,nM,31.235,hERG
ondansetron,3000,nM,76.012,hERG
ondansetron,3000,nM,80.043,hERG
ondansetron,3000,nM,79.87,hERG
ondansetron,3000,nM,78.105,hERG
ondansetron,3000,nM,56.937,hERG
ondansetron,3000,nM,64.388,hERG
ondansetron,3000,nM,63.91,hERG
ondansetron,10000,nM,94.25,hERG
ondansetron,10000,nM,95.998,hERG
ondansetron,10000,nM,96.658,hERG
ondansetron,10000,nM,96.117,hERG
ondansetron,10000,nM,82.782,hERG
ondansetron,10000,nM,82.782,hERG
ondansetron,10000,nM,92.933,hERG
bepridil,9.99,nM,7.2583,hERG
bepridil,9.99,nM,5.9637,hERG
bepridil,9.99,nM,0.81701,hERG
bepridil,9.99,nM,1.8905,hERG
bepridil,9.99,nM,-4.4131,hERG
bepridil,30,nM,17.299,hERG
bepridil,30,nM,18.008,hERG
bepridil,30,nM,4.4898,hERG
bepridil,30,nM,7.5333,hERG
bepridil,30,nM,3.5252,hERG
bepridil,99.99,nM,45.816,hERG
bepridil,99.99,nM,40.919,hERG
bepridil,99.99,nM,19.348,hERG
bepridil,99.99,nM,23.32,hERG
bepridil,99.99,nM,26.295,hERG
bepridil,300,nM,80.757,hERG
bepridil,300,nM,73.069,hERG
bepridil,300,nM,50.833,hERG
bepridil,300,nM,60.889,hERG
bepridil,300,nM,68.341,hERG
verapamil,30,nM,1.6691,hERG
verapamil,30,nM,2.3688,hERG
verapamil,30,nM,-0.35709,hERG
verapamil,30,nM,2.5064,hERG
verapamil,30,nM,15.63,hERG
verapamil,30,nM,-8.2687,hERG
verapamil,30,nM,5.0226,hERG
verapamil,100,nM,8.0922,hERG
verapamil,100,nM,12.583,hERG
verapamil,100,nM,25.312,hERG
verapamil,100,nM,13.117,hERG
verapamil,100,nM,21.135,hERG
verapamil,100,nM,6.0633,hERG
verapamil,100,nM,13.022,hERG
verapamil,300,nM,34.019,hERG
verapamil,300,nM,34.675,hERG
verapamil,300,nM,38.936,hERG
verapamil,300,nM,36.512,hERG
verapamil,300,nM,44.805,hERG
verapamil,300,nM,26.868,hERG
verapamil,300,nM,36.01,hERG
verapamil,1000,nM,67.847,hERG
verapamil,1000,nM,67.594,hERG
verapamil,1000,nM,69.19,hERG
verapamil,1000,nM,69.999,hERG
verapamil,1000,nM,77.778,hERG
verapamil,1000,nM,67.83,hERG
verapamil,1000,nM,71.135,hERG
terfenadine,10,nM,-4.7665,hERG
terfenadine,10,nM,-4.7665,hERG
terfenadine,10,nM,5.5263,hERG
terfenadine,10,nM,2.5554,hERG
terfenadine,10,nM,0.68138,hERG
terfenadine,30,nM,10.222,hERG
terfenadine,30,nM,10.222,hERG
terfenadine,30,nM,14.948,hERG
terfenadine,30,nM,20.228,hERG
terfenadine,30,nM,16.539,hERG
terfenadine,99.99,nM,57.7732,hERG
terfenadine,99.99,nM,57.732,hERG
terfenadine,99.99,nM,55.313,hERG
terfenadine,99.99,nM,63.907,hERG
terfenadine,99.99,nM,57.279,hERG
terfenadine,300,nM,89.743,hERG
terfenadine,300,nM,89.743,hERG
terfenadine,300,nM,90.279,hERG
terfenadine,300,nM,92.548,hERG
terfenadine,300,nM,91.728,hERG
ranolazine,3000,nM,21.174,hERG
ranolazine,3000,nM,19.944,hERG
ranolazine,3000,nM,17.394,hERG
ranolazine,10000,nM,47.346,hERG
ranolazine,10000,nM,48.11,hERG
ranolazine,10000,nM,46.983,hERG
ranolazine,30000,nM,68.291,hERG
ranolazine,30000,nM,72.227,hERG
ranolazine,30000,nM,71.777,hERG
ranolazine,1.00E+05,nM,86.046,hERG
ranolazine,1.00E+05,nM,87.376,hERG
