"drug","conc","units","block","channel"
"loratadine",0.45,"nM",16.344579,"hERG"
"loratadine",4.5,"nM",14.215526,"hERG"
"loratadine",450,"nM",11.955454,"hERG"
"loratadine",35000,"nM",100.49132,"hERG"
"loratadine",0.45,"nM",0.13214404,"hERG"
"loratadine",4.5,"nM",15.427816,"hERG"
"loratadine",450,"nM",14.634952,"hERG"
"loratadine",35000,"nM",101.35448,"hERG"
"loratadine",0.45,"nM",12.477064,"hERG"
"loratadine",4.5,"nM",13.604194,"hERG"
"loratadine",450,"nM",15.570118,"hERG"
"loratadine",35000,"nM",95.491481,"hERG"
"loratadine",0.45,"nM",7.1875,"hERG"
"loratadine",4.5,"nM",6.40625,"hERG"
"loratadine",450,"nM",10.3125,"hERG"
"loratadine",35000,"nM",100.78125,"hERG"
"loratadine",0.45,"nM",24.940898,"hERG"
"loratadine",4.5,"nM",31.678487,"hERG"
"loratadine",450,"nM",32.624113,"hERG"
"loratadine",35000,"nM",96.926714,"hERG"
"loratadine",0.45,"nM",24.270177,"hERG"
"loratadine",4.5,"nM",33.371494,"hERG"
"loratadine",450,"nM",35.775615,"hERG"
"loratadine",35000,"nM",98.912421,"hERG"
"loratadine",0.45,"nM",32.923077,"hERG"
"loratadine",4.5,"nM",41.948718,"hERG"
"loratadine",450,"nM",38.666667,"hERG"
"loratadine",35000,"nM",90.25641,"hERG"
"ibutilide",10,"nM",28.55008,"hERG"
"ibutilide",100,"nM",95.96413,"hERG"
"ibutilide",1000,"nM",100.6976,"hERG"
"ibutilide",10000,"nM",101.0962,"hERG"
"ibutilide",10,"nM",32.96703,"hERG"
"ibutilide",100,"nM",95.9041,"hERG"
"ibutilide",1000,"nM",98.8012,"hERG"
"ibutilide",10000,"nM",99.2008,"hERG"
"ibutilide",10,"nM",64.24752,"hERG"
"ibutilide",100,"nM",97.59358,"hERG"
"ibutilide",1000,"nM",99.80902,"hERG"
"ibutilide",10000,"nM",100.1146,"hERG"
"ibutilide",10,"nM",63.23077,"hERG"
"ibutilide",100,"nM",98.53846,"hERG"
"ibutilide",1000,"nM",100.3846,"hERG"
"ibutilide",10000,"nM",100.5385,"hERG"
"ibutilide",10,"nM",57.31092,"hERG"
"ibutilide",100,"nM",99.7479,"hERG"
"ibutilide",1000,"nM",104.1177,"hERG"
"ibutilide",10000,"nM",105.2941,"hERG"
"ibutilide",10,"nM",46.27767,"hERG"
"ibutilide",100,"nM",97.0825,"hERG"
"ibutilide",1000,"nM",99.29578,"hERG"
"ibutilide",10000,"nM",99.19517,"hERG"
"ibutilide",10,"nM",43.04694,"hERG"
"ibutilide",100,"nM",95.5713,"hERG"
"ibutilide",1000,"nM",98.93711,"hERG"
"ibutilide",10000,"nM",99.20283,"hERG"
"ibutilide",10,"nM",47.39209,"hERG"
"ibutilide",100,"nM",97.84173,"hERG"
"ibutilide",1000,"nM",100.0899,"hERG"
"ibutilide",10000,"nM",110.027,"hERG"
"ibutilide",10,"nM",20.08073,"hERG"
"ibutilide",100,"nM",34.91423,"hERG"
"ibutilide",1000,"nM",105.0454,"hERG"
"ibutilide",10000,"nM",108.1736,"hERG"
"ibutilide",10,"nM",4.909285,"hERG"
"ibutilide",100,"nM",42.049093,"hERG"
"ibutilide",1000,"nM",99.466382,"hERG"
"ibutilide",10000,"nM",103.6286,"hERG"
"ibutilide",10,"nM",15.98361,"hERG"
"ibutilide",100,"nM",54.61066,"hERG"
"ibutilide",1000,"nM",98.05328,"hERG"
"ibutilide",10000,"nM",100.9221,"hERG"
"ibutilide",10,"nM",30.67714,"hERG"
"ibutilide",100,"nM",63.89824,"hERG"
"ibutilide",1000,"nM",96.9697,"hERG"
"ibutilide",10000,"nM",100,"hERG"
"metoprolol",1800,"nM",20.95282,"hERG"
"metoprolol",18000,"nM",33.48751,"hERG"
"metoprolol",180000,"nM",82.05365,"hERG"
"metoprolol",438000,"nM",92.46069,"hERG"
"metoprolol",1800,"nM",14.65347,"hERG"
"metoprolol",18000,"nM",28.34984,"hERG"
"metoprolol",180000,"nM",75.64356,"hERG"
"metoprolol",438000,"nM",88.77888,"hERG"
"metoprolol",1800,"nM",-2.51385,"hERG"
"metoprolol",18000,"nM",11.33362,"hERG"
"metoprolol",180000,"nM",65.53046,"hERG"
"metoprolol",438000,"nM",85.04474,"hERG"
"metoprolol",1800,"nM",-6.05565,"hERG"
"metoprolol",18000,"nM",18.16694,"hERG"
"metoprolol",180000,"nM",82.89689,"hERG"
"metoprolol",438000,"nM",92.30769,"hERG"
"metoprolol",1800,"nM",2.398524,"hERG"
"metoprolol",18000,"nM",18.45019,"hERG"
"metoprolol",180000,"nM",80.35055,"hERG"
"metoprolol",438000,"nM",90.68266,"hERG"
"metoprolol",1800,"nM",9.252913,"hERG"
"metoprolol",18000,"nM",28.99246,"hERG"
"metoprolol",180000,"nM",83.34476,"hERG"
"metoprolol",438000,"nM",90.88417,"hERG"
"metoprolol",1800,"nM",9.341501,"hERG"
"metoprolol",18000,"nM",24.34916,"hERG"
"metoprolol",180000,"nM",81.92956,"hERG"
"metoprolol",438000,"nM",90.6585,"hERG"
"metoprolol",1800,"nM",11.612284,"hERG"
"metoprolol",18000,"nM",40.307102,"hERG"
"metoprolol",180000,"nM",58.637236,"hERG"
"metoprolol",438000,"nM",101.34357,"hERG"
"metoprolol",1800,"nM",10.64328,"hERG"
"metoprolol",18000,"nM",32.39766,"hERG"
"metoprolol",180000,"nM",76.02339,"hERG"
"metoprolol",438000,"nM",81.40351,"hERG"
"metoprolol",1800,"nM",9.832841,"hERG"
"metoprolol",18000,"nM",34.41495,"hERG"
"metoprolol",180000,"nM",90.56047,"hERG"
"metoprolol",438000,"nM",94.69027,"hERG"
"droperidol",16,"nM",14.40607,"hERG"
"droperidol",160,"nM",44.3134,"hERG"
"droperidol",1600,"nM",93.38669,"hERG"
"droperidol",16000,"nM",99.70514,"hERG"
"droperidol",16,"nM",4.200989,"hERG"
"droperidol",160,"nM",40.11532,"hERG"
"droperidol",1600,"nM",90.69193,"hERG"
"droperidol",16000,"nM",97.77595,"hERG"
"droperidol",16,"nM",15.95331,"hERG"
"droperidol",160,"nM",57.43191,"hERG"
"droperidol",1600,"nM",102.6459,"hERG"
"droperidol",16000,"nM",106.2257,"hERG"
"droperidol",16,"nM",-7.83034,"hERG"
"droperidol",160,"nM",46.3839,"hERG"
"droperidol",1600,"nM",92.44154,"hERG"
"droperidol",16000,"nM",99.61936,"hERG"
"droperidol",16,"nM",18.72899,"hERG"
"droperidol",160,"nM",47.64627,"hERG"
"droperidol",1600,"nM",94.65367,"hERG"
"droperidol",16000,"nM",99.93275,"hERG"
"droperidol",16,"nM",17.06422,"hERG"
"droperidol",160,"nM",48.99083,"hERG"
"droperidol",1600,"nM",96.51376,"hERG"
"droperidol",16000,"nM",115.7798,"hERG"
"droperidol",16,"nM",12.72016,"hERG"
"droperidol",160,"nM",46.96673,"hERG"
"droperidol",1600,"nM",92.17221,"hERG"
"droperidol",16000,"nM",98.23875,"hERG"
"droperidol",16,"nM",11.81102,"hERG"
"droperidol",160,"nM",44.48819,"hERG"
"droperidol",1600,"nM",93.11024,"hERG"
"droperidol",16000,"nM",100.9843,"hERG"
"droperidol",16,"nM",11.461619,"hERG"
"droperidol",160,"nM",53.62776,"hERG"
"droperidol",1600,"nM",94.006309,"hERG"
"droperidol",16000,"nM",99.15878,"hERG"
"droperidol",16,"nM",10.20166,"hERG"
"droperidol",160,"nM",51.9573,"hERG"
"droperidol",1600,"nM",95.01779,"hERG"
"droperidol",16000,"nM",100.1186,"hERG"
"domperidone",20,"nM",11.39763,"hERG"
"domperidone",200,"nM",58.53533,"hERG"
"domperidone",2000,"nM",95.25529,"hERG"
"domperidone",20000,"nM",98.81382,"hERG"
"domperidone",20,"nM",26.74123,"hERG"
"domperidone",200,"nM",70.56431,"hERG"
