drug,conc,units,block,channel
astemizole,0.3,nM,0,hERG
astemizole,0.3,nM,7.12,hERG
astemizole,0.3,nM,7.45,hERG
astemizole,0.3,nM,7.81,hERG
astemizole,0.3,nM,12.65,hERG
astemizole,0.3,nM,44.66,hERG
astemizole,3,nM,29.78,hERG
astemizole,3,nM,33.22,hERG
astemizole,3,nM,33.71,hERG
astemizole,3,nM,41.66,hERG
astemizole,3,nM,55.85,hERG
astemizole,3,nM,59.07,hERG
astemizole,3,nM,61.5,hERG
astemizole,3,nM,75.75,hERG
astemizole,300,nM,51.06,hERG
astemizole,300,nM,84.37,hERG
astemizole,300,nM,91.7,hERG
astemizole,300,nM,96.47,hERG
astemizole,300,nM,98.67,hERG
astemizole,300,nM,99.19,hERG
astemizole,3000,nM,94.49,hERG
astemizole,3000,nM,97.32,hERG
astemizole,3000,nM,98.02,hERG
astemizole,3000,nM,99.12,hERG
astemizole,3000,nM,99.38,hERG
astemizole,3000,nM,99.95,hERG
astemizole,3000,nM,101.2,hERG
astemizole,3000,nM,101.39,hERG
clarithromycine,120.6,nM,-12.61,hERG
clarithromycine,120.6,nM,-8.98,hERG
clarithromycine,120.6,nM,-4.93,hERG
clarithromycine,120.6,nM,1.44,hERG
clarithromycine,120.6,nM,4.45,hERG
clarithromycine,120.6,nM,9.06,hERG
clarithromycine,1206,nM,-0.75,hERG
clarithromycine,1206,nM,-0.65,hERG
clarithromycine,1206,nM,2.63,hERG
clarithromycine,12060,nM,17.4,hERG
clarithromycine,12060,nM,19.05,hERG
clarithromycine,1.00E+05,nM,17.49,hERG
clarithromycine,1.00E+05,nM,21.92,hERG
clarithromycine,1.00E+05,nM,28.39,hERG
clarithromycine,1.00E+05,nM,34.48,hERG
clarithromycine,1.00E+05,nM,36.93,hERG
clarithromycine,1.00E+05,nM,46.39,hERG
clarithromycine,1.00E+05,nM,48.39,hERG
clozapine,71,nM,-4.16,hERG
clozapine,71,nM,-2.66,hERG
clozapine,71,nM,16.43,hERG
clozapine,71,nM,16.75,hERG
clozapine,71,nM,24.61,hERG
clozapine,71,nM,31.11,hERG
clozapine,71,nM,34.21,hERG
clozapine,71,nM,35.11,hERG
clozapine,71,nM,35.78,hERG
clozapine,71,nM,86.5,hERG
clozapine,710,nM,27.1,hERG
clozapine,710,nM,65.23,hERG
clozapine,710,nM,84.28,hERG
clozapine,710,nM,87.27,hERG
clozapine,7100,nM,90.35,hERG
clozapine,7100,nM,91.26,hERG
clozapine,7100,nM,91.27,hERG
clozapine,7100,nM,96.07,hERG
clozapine,7100,nM,99.03,hERG
clozapine,7100,nM,106,hERG
clozapine,71000,nM,94.98,hERG
clozapine,71000,nM,96.11,hERG
clozapine,71000,nM,100,hERG
clozapine,71000,nM,100.24,hERG
clozapine,71000,nM,105.19,hERG
clozapine,71000,nM,108.55,hERG
clozapine,71000,nM,111.41,hERG
clozapine,71000,nM,127.15,hERG
domperidone,20,nM,12.08,hERG
domperidone,20,nM,17.05,hERG
domperidone,20,nM,19.68,hERG
domperidone,20,nM,20.29,hERG
domperidone,20,nM,20.84,hERG
domperidone,20,nM,23.55,hERG
domperidone,20,nM,27,hERG
domperidone,20,nM,55.04,hERG
domperidone,200,nM,56.24,hERG
domperidone,200,nM,56.8,hERG
domperidone,200,nM,64.04,hERG
domperidone,200,nM,65.73,hERG
domperidone,200,nM,67.27,hERG
domperidone,200,nM,67.7,hERG
domperidone,200,nM,94.25,hERG
domperidone,200,nM,97.27,hERG
domperidone,2000,nM,89.82,hERG
domperidone,2000,nM,90.95,hERG
domperidone,2000,nM,92.66,hERG
domperidone,2000,nM,96.04,hERG
domperidone,2000,nM,97.41,hERG
domperidone,2000,nM,97.59,hERG
domperidone,2000,nM,111.13,hERG
domperidone,20000,nM,91.19,hERG
domperidone,20000,nM,94.84,hERG
domperidone,20000,nM,95.45,hERG
domperidone,20000,nM,95.92,hERG
domperidone,20000,nM,96.14,hERG
domperidone,20000,nM,97.14,hERG
domperidone,20000,nM,98.43,hERG
domperidone,20000,nM,100.78,hERG
domperidone,20000,nM,104.06,hERG
domperidone,20000,nM,104.88,hERG
droperidol,16,nM,-15.89,hERG
droperidol,16,nM,8.64,hERG
droperidol,16,nM,11.52,hERG
droperidol,16,nM,12.41,hERG
droperidol,16,nM,14.32,hERG
droperidol,16,nM,15.24,hERG
droperidol,16,nM,18.62,hERG
droperidol,16,nM,41.38,hERG
droperidol,160,nM,52.48,hERG
droperidol,160,nM,62.46,hERG
droperidol,160,nM,64.95,hERG
droperidol,160,nM,69.92,hERG
droperidol,160,nM,78.25,hERG
droperidol,160,nM,83.92,hERG
droperidol,1600,nM,84.02,hERG
droperidol,1600,nM,86.4,hERG
droperidol,1600,nM,86.61,hERG
droperidol,1600,nM,88.54,hERG
droperidol,1600,nM,89.9,hERG
droperidol,1600,nM,91.78,hERG
droperidol,1600,nM,92.11,hERG
droperidol,1600,nM,93.09,hERG
droperidol,1600,nM,97.27,hERG
droperidol,16000,nM,94.59,hERG
droperidol,16000,nM,95.09,hERG
droperidol,16000,nM,96.33,hERG
droperidol,16000,nM,97.28,hERG
droperidol,16000,nM,98.11,hERG
droperidol,16000,nM,98.43,hERG
droperidol,16000,nM,100.36,hERG
ibutilide,10,nM,16.49,hERG
ibutilide,10,nM,40.97,hERG
ibutilide,10,nM,42.18,hERG
ibutilide,10,nM,55.45,hERG
ibutilide,10,nM,55.47,hERG
ibutilide,10,nM,56.31,hERG
ibutilide,10,nM,57.3,hERG
ibutilide,10,nM,77.37,hERG
ibutilide,100,nM,96.75,hERG
ibutilide,100,nM,98.98,hERG
ibutilide,100,nM,106.42,hERG
ibutilide,1000,nM,95.07,hERG
ibutilide,1000,nM,96.3,hERG
ibutilide,1000,nM,97.83,hERG
ibutilide,1000,nM,99.11,hERG
ibutilide,1000,nM,101.39,hERG
ibutilide,1000,nM,104.73,hERG
ibutilide,10000,nM,87.09,hERG
ibutilide,10000,nM,92.11,hERG
ibutilide,10000,nM,94.08,hERG
ibutilide,10000,nM,95.22,hERG
ibutilide,10000,nM,100,hERG
loratadine,0.45,nM,6.12,hERG
loratadine,0.45,nM,11.36,hERG
loratadine,0.45,nM,12.68,hERG
loratadine,0.45,nM,13.62,hERG
loratadine,0.45,nM,18.07,hERG
loratadine,4.5,nM,3.35,hERG
loratadine,4.5,nM,3.37,hERG
loratadine,4.5,nM,5.09,hERG
loratadine,4.5,nM,8.99,hERG
loratadine,4.5,nM,12.86,hERG
loratadine,4.5,nM,13.12,hERG
loratadine,4.5,nM,14.66,hERG
loratadine,450,nM,-3.91,hERG
loratadine,450,nM,8.79,hERG
loratadine,450,nM,8.82,hERG
loratadine,450,nM,9.09,hERG
loratadine,450,nM,11.2,hERG
loratadine,450,nM,13.54,hERG
loratadine,450,nM,80.03,hERG
loratadine,35000,nM,67.32,hERG
loratadine,35000,nM,70.94,hERG
loratadine,35000,nM,74.01,hERG
loratadine,35000,nM,76.61,hERG
loratadine,35000,nM,79,hERG
loratadine,35000,nM,84.99,hERG
loratadine,35000,nM,89.35,hERG
loratadine,35000,nM,95.2,hERG
metoprolol,1800,nM,-5.55,hERG
metoprolol,1800,nM,-2.97,hERG
metoprolol,1800,nM,-1.53,hERG
metoprolol,1800,nM,-0.91,hERG
metoprolol,1800,nM,-0.17,hERG
metoprolol,1800,nM,8.54,hERG
metoprolol,18000,nM,0.72,hERG
metoprolol,18000,nM,6.24,hERG
metoprolol,18000,nM,7.93,hERG
metoprolol,18000,nM,9.87,hERG
metoprolol,18000,nM,23.38,hERG
metoprolol,180000,nM,46.37,hERG
metoprolol,180000,nM,54.57,hERG
metoprolol,180000,nM,55.62,hERG
metoprolol,438000,nM,60.96,hERG
metoprolol,438000,nM,75.75,hERG
metoprolol,438000,nM,80.99,hERG
metoprolol,438000,nM,83.21,hERG
nifedipine,7.77,nM,0.57,hERG
nifedipine,7.77,nM,5.19,hERG
nifedipine,7.77,nM,13.58,hERG
nifedipine,7.77,nM,21.67,hERG
nifedipine,7.77,nM,28.87,hERG
nifedipine,7.77,nM,31.99,hERG
nifedipine,77,nM,0.18,hERG
nifedipine,77,nM,5.05,hERG
nifedipine,77,nM,5.58,hERG
nifedipine,77,nM,6.03,hERG
nifedipine,77,nM,10.71,hERG
nifedipine,77,nM,13.24,hERG
nifedipine,7700,nM,5.19,hERG
nifedipine,7700,nM,6.24,hERG
nifedipine,7700,nM,18.54,hERG
nifedipine,7700,nM,57.54,hERG
nifedipine,51100,nM,54.07,hERG
nifedipine,51100,nM,88.13,hERG
nifedipine,51100,nM,98.06,hERG
nitrendipine,3.02,nM,24.64,hERG
nitrendipine,3.02,nM,36.79,hERG
nitrendipine,3.02,nM,38.27,hERG
nitrendipine,30.2,nM,-7.37,hERG
nitrendipine,30.2,nM,4.55,hERG
nitrendipine,3020,nM,-17.6,hERG
nitrendipine,3020,nM,-2.17,hERG
nitrendipine,3020,nM,2.29,hERG
nitrendipine,3020,nM,14.98,hERG
nitrendipine,30200,nM,-2.41,hERG
nitrendipine,30200,nM,5.92,hERG
nitrendipine,30200,nM,16.67,hERG
pimozide,0.43,nM,2.22,hERG
pimozide,0.43,nM,15.49,hERG
pimozide,0.43,nM,16.37,hERG
pimozide,0.43,nM,19.65,hERG
pimozide,0.43,nM,21.72,hERG
pimozide,0.43,nM,23.28,hERG
pimozide,0.43,nM,32.78,hERG
pimozide,4.3,nM,1.58,hERG
pimozide,4.3,nM,3.16,hERG
pimozide,4.3,nM,11.17,hERG
pimozide,4.3,nM,15.22,hERG
pimozide,4.3,nM,24.35,hERG
pimozide,43,nM,25.84,hERG
pimozide,43,nM,39.81,hERG
pimozide,43,nM,44.15,hERG
pimozide,43,nM,49.7,hERG
pimozide,430,nM,53.92,hERG
pimozide,430,nM,75.09,hERG
pimozide,430,nM,86.14,hERG
pimozide,430,nM,92.23,hERG
pimozide,430,nM,97.52,hERG
pimozide,430,nM,108.56,hERG
risperidone,2,nM,-10.04,hERG
